api-1  | INFO:     Started server process [1]
api-1  | INFO:     Waiting for application startup.
api-1  | INFO:     Application startup complete.
api-1  | INFO:     Uvicorn running on http://0.0.0.0:8000 (Press CTRL+C to quit)
api-1  | INFO:     172.18.0.1:58164 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:44268 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.3:60796 - "GET /docs HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.3:60802 - "GET /docs HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.3:60802 - "GET /docs HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.3:60808 - "GET /robots.txt HTTP/1.1" 404 Not Found
api-1  | INFO:     172.18.0.3:60802 - "GET /sitemap.xml HTTP/1.1" 404 Not Found
api-1  | INFO:     127.0.0.1:46498 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.3:60802 - "GET /8047204569361399211 HTTP/1.1" 404 Not Found
api-1  | INFO:     172.18.0.3:60802 - "GET /WEB-INF/web.xml HTTP/1.1" 404 Not Found
api-1  | WARNING:  Invalid HTTP request received.
api-1  | INFO:     172.18.0.3:60802 - "GET /WEB-INF/applicationContext.xml HTTP/1.1" 404 Not Found
api-1  | INFO:     172.18.0.3:60808 - "GET /docs?-s HTTP/1.1" 200 OK
api-1  | WARNING:  Invalid HTTP request received.
api-1  | WARNING:  Invalid HTTP request received.
api-1  | INFO:     172.18.0.3:60802 - "POST /docs?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input HTTP/1.1" 405 Method Not Allowed
api-1  | INFO:     172.18.0.3:60802 - "POST /docs?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input HTTP/1.1" 405 Method Not Allowed
api-1  | INFO:     172.18.0.3:60802 - "GET /docs HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.3:60802 - "GET /docs?class.module.classLoader.DefaultAssertionStatus=nonsense HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.3:60802 - "POST /docs HTTP/1.1" 405 Method Not Allowed
api-1  | INFO:     172.18.0.3:60802 - "POST /docs HTTP/1.1" 405 Method Not Allowed
